feature,attribution,abs_attribution
target_x_norm,0.023702282458543777,0.023702282458543777
target_y_norm,0.015429029241204262,0.015429029241204262
uav1_y_norm,0.01303376629948616,0.01303376629948616
uav2_x_norm,0.01087760366499424,0.01087760366499424
uav1_x_norm,0.009222535416483879,0.009222535416483879
uav2_y_norm,0.008198613300919533,0.008198613300919533
uav2_vx_norm,0.0015247056726366282,0.0015247056726366282
uav1_vx_norm,0.000926470325794071,0.000926470325794071
uav2_vy_norm,0.000601750856731087,0.000601750856731087
uav1_vy_norm,0.0005616623675450683,0.0005616623675450683
