feature,attribution,abs_attribution
uav2_x_norm,0.3610615819927093,0.3610615819927093
uav1_x_norm,0.34790571961487354,0.34790571961487354
uav1_y_norm,0.17059807355095044,0.17059807355095044
uav2_y_norm,0.05737192766304933,0.05737192766304933
target_x_norm,0.03945452105919603,0.03945452105919603
target_y_norm,0.008936932531609014,0.008936932531609014
uav2_vx_norm,0.004627627265841815,0.004627627265841815
uav1_vx_norm,0.003762171186317285,0.003762171186317285
uav1_vy_norm,0.003458539272115034,0.003458539272115034
uav2_vy_norm,0.0028229058633381476,0.0028229058633381476
