feature,attribution,abs_attribution
uav1_y_norm,40.85295486450195,40.85295486450195
target_y_norm,38.246734619140625,38.246734619140625
uav1_x_norm,35.57270812988281,35.57270812988281
target_x_norm,32.4398078918457,32.4398078918457
uav2_y_norm,13.856742858886719,13.856742858886719
uav2_x_norm,11.446881294250488,11.446881294250488
uav1_vy_norm,2.9228975772857666,2.9228975772857666
uav2_vy_norm,2.316408634185791,2.316408634185791
uav1_vx_norm,1.9972518682479858,1.9972518682479858
uav2_vx_norm,1.1828540563583374,1.1828540563583374
