feature,attribution,abs_attribution
uav2_x_norm,0.3589056858809332,0.3589056858809332
uav1_x_norm,0.3428751679581823,0.3428751679581823
uav1_y_norm,0.13093753139433384,0.13093753139433384
target_x_norm,0.05511422851976407,0.05511422851976407
target_y_norm,0.048324601822750224,0.048324601822750224
uav2_y_norm,0.04805984486111916,0.04805984486111916
uav1_vy_norm,0.00444379024474619,0.00444379024474619
uav2_vx_norm,0.004350444257626713,0.004350444257626713
uav1_vx_norm,0.003832619776892134,0.003832619776892134
uav2_vy_norm,0.0031560852836522157,0.0031560852836522157
