feature,attribution,abs_attribution
uav2_x_norm,0.43379415801916693,0.43379415801916693
uav1_x_norm,0.3098920327480453,0.3098920327480453
uav1_y_norm,0.13545254075750188,0.13545254075750188
uav2_y_norm,0.06049938309773428,0.06049938309773428
target_x_norm,0.04206981601807936,0.04206981601807936
target_y_norm,0.01051699579034352,0.01051699579034352
uav2_vx_norm,0.0024330410118766233,0.0024330410118766233
uav1_vx_norm,0.002093195040241075,0.002093195040241075
uav1_vy_norm,0.0017756011447992936,0.0017756011447992936
uav2_vy_norm,0.0014732363722116594,0.0014732363722116594
