feature,attribution,abs_attribution
uav2_x_norm,0.37073764410303234,0.37073764410303234
uav2_y_norm,0.22939282846427583,0.22939282846427583
uav1_x_norm,0.2290673747151344,0.2290673747151344
uav1_y_norm,0.10716502984472397,0.10716502984472397
target_x_norm,0.0397927435564559,0.0397927435564559
target_y_norm,0.008642050322597954,0.008642050322597954
uav2_vx_norm,0.004331812672181379,0.004331812672181379
uav1_vx_norm,0.003956810793431176,0.003956810793431176
uav1_vy_norm,0.003494420946994285,0.003494420946994285
uav2_vy_norm,0.0034192845811727938,0.0034192845811727938
