feature,attribution,abs_attribution
uav2_x_norm,0.43721373321494666,0.43721373321494666
uav1_x_norm,0.26062234685498,0.26062234685498
uav1_y_norm,0.121539476414535,0.121539476414535
uav2_y_norm,0.09950642372716065,0.09950642372716065
target_x_norm,0.03850620740032125,0.03850620740032125
target_y_norm,0.03376255443106632,0.03376255443106632
uav2_vx_norm,0.0028412218440898446,0.0028412218440898446
uav1_vx_norm,0.0024980974886713563,0.0024980974886713563
uav1_vy_norm,0.0018796577099974246,0.0018796577099974246
uav2_vy_norm,0.0016302809142315175,0.0016302809142315175
