feature,attribution,abs_attribution
target_y_norm,0.16155622899532318,0.16155622899532318
uav2_y_norm,0.08257832378149033,0.08257832378149033
target_x_norm,0.06547220796346664,0.06547220796346664
uav1_x_norm,0.034156765788793564,0.034156765788793564
uav2_x_norm,0.030976183712482452,0.030976183712482452
uav1_y_norm,0.020129738375544548,0.020129738375544548
uav2_vx_norm,0.006450194865465164,0.006450194865465164
uav1_vy_norm,0.005363759584724903,0.005363759584724903
uav1_vx_norm,0.0027559930458664894,0.0027559930458664894
uav2_vy_norm,0.00024816865334287286,0.00024816865334287286
