feature,attribution,abs_attribution
uav2_x_norm,0.43191684296983673,0.43191684296983673
uav1_x_norm,0.29370537890001086,0.29370537890001086
uav1_y_norm,0.20515613972698635,0.20515613972698635
uav2_y_norm,0.06534132605889137,0.06534132605889137
target_x_norm,0.002499517555305487,0.002499517555305487
target_y_norm,0.0011712926931066216,0.0011712926931066216
uav2_vy_norm,9.118246777542523e-05,9.118246777542523e-05
uav2_vx_norm,5.711616317219924e-05,5.711616317219924e-05
uav1_vy_norm,3.139591207872582e-05,3.139591207872582e-05
uav1_vx_norm,2.9807552836264676e-05,2.9807552836264676e-05
