method,training_steps,success_rate,mean_return,mean_length,collision_rate
ppo_baseline,20000,0.8,-40.867996550123,,
ppo_baseline,40000,1.0,-15.606138938142067,,
ppo_baseline,60000,1.0,-15.606138938142067,,
ppo_baseline,80000,1.0,-15.606138938142067,,
ppo_baseline,100000,1.0,-15.606138938142067,,
ppo_baseline,120000,1.0,-15.606138938142067,,
ppo_baseline,140000,1.0,-15.606138938142067,,
ppo_baseline,160000,1.0,-15.606138938142067,,
ppo_baseline,180000,1.0,-15.606138938142067,,
ppo_baseline,200000,1.0,-15.606138938142067,,
ppo_finetune,20000,1.0,-22.10768703042112,,
ppo_finetune,40000,1.0,-16.052157639093735,,
ppo_finetune,60000,1.0,-28.84690430516931,,
ppo_finetune,80000,1.0,-28.250938188552453,,
ppo_finetune,100000,1.0,-24.710974930621393,,
ppo_finetune,120000,1.0,-26.17445718769938,,
ppo_finetune,140000,1.0,-24.808085200787865,,
ppo_finetune,160000,1.0,-16.095264782343747,,
ppo_finetune,180000,1.0,-28.07426659627958,,
ppo_finetune,200000,1.0,-19.203898149118583,,
ppo_baseline,20000,0.8,-40.867996550123,,
ppo_baseline,40000,1.0,-15.606138938142067,,
ppo_baseline,60000,1.0,-15.606138938142067,,
ppo_baseline,80000,1.0,-15.606138938142067,,
ppo_baseline,100000,1.0,-15.606138938142067,,
ppo_baseline,120000,1.0,-15.606138938142067,,
ppo_baseline,140000,1.0,-15.606138938142067,,
ppo_baseline,160000,1.0,-15.606138938142067,,
ppo_baseline,180000,1.0,-15.606138938142067,,
ppo_baseline,200000,1.0,-15.606138938142067,,
ppo_finetune,20000,1.0,-25.18637478221771,,
ppo_finetune,40000,1.0,-18.59293237016862,,
ppo_finetune,60000,1.0,-15.929610474219317,,
ppo_finetune,80000,1.0,-16.662951966294504,,
ppo_finetune,100000,1.0,-27.767365453302915,,
ppo_finetune,120000,1.0,-27.925847176935992,,
ppo_finetune,140000,1.0,-27.9566840155168,,
ppo_finetune,160000,1.0,-27.910242714712673,,
ppo_finetune,180000,1.0,-18.827227775295036,,
ppo_finetune,200000,1.0,-15.736264221014153,,
ppo_finetune,20000,1.0,-48.81483698614464,,
ppo_finetune,40000,1.0,-38.1985821910225,,
ppo_finetune,60000,1.0,-48.94519752758743,,
ppo_finetune,80000,1.0,-36.50073047162364,,
ppo_finetune,100000,1.0,-28.3347268706378,,
ppo_finetune,120000,1.0,-31.29021923352257,,
ppo_finetune,140000,1.0,-26.523936002710116,,
ppo_finetune,160000,1.0,-35.09204521887919,,
ppo_finetune,180000,1.0,-21.547208606426416,,
ppo_finetune,200000,1.0,-17.0782932619041,,
ppo_baseline,20000,0.8,-40.867996550123,,
ppo_baseline,40000,1.0,-15.606138938142067,,
ppo_baseline,60000,1.0,-15.606138938142067,,
ppo_baseline,80000,1.0,-15.606138938142067,,
ppo_baseline,100000,1.0,-15.606138938142067,,
ppo_baseline,120000,1.0,-15.606138938142067,,
ppo_baseline,140000,1.0,-15.606138938142067,,
ppo_baseline,160000,1.0,-15.606138938142067,,
ppo_baseline,180000,1.0,-15.606138938142067,,
ppo_baseline,200000,1.0,-15.606138938142067,,
ppo_finetune,20000,0.7,-74.47168980491384,,
ppo_finetune,40000,1.0,-51.635802647329754,,
ppo_finetune,60000,1.0,-49.67842577708149,,
ppo_finetune,80000,0.9,-65.62931274596107,,
ppo_finetune,100000,1.0,-33.79749361053389,,
ppo_finetune,120000,1.0,-34.87167328376497,,
ppo_finetune,140000,1.0,-35.29034888498123,,
ppo_finetune,160000,1.0,-25.574165188074456,,
ppo_finetune,180000,1.0,-27.38073055957414,,
ppo_finetune,200000,1.0,-21.674016359036244,,
ppo_baseline_default,20000,0.8,-40.867996550123,,
ppo_baseline_default,40000,1.0,-15.606138938142067,,
ppo_baseline_default,60000,1.0,-15.606138938142067,,
ppo_baseline_default,80000,1.0,-15.606138938142067,,
ppo_baseline_default,100000,1.0,-15.606138938142067,,
ppo_baseline_default,120000,1.0,-15.606138938142067,,
ppo_baseline_default,140000,1.0,-15.606138938142067,,
ppo_baseline_default,160000,1.0,-15.606138938142067,,
ppo_baseline_default,180000,1.0,-15.606138938142067,,
ppo_baseline_default,200000,1.0,-15.606138938142067,,
ppo_baseline_near_uavs,20000,1.0,-5.375613041543217,,
ppo_baseline_near_uavs,40000,1.0,-5.375613041543217,,
ppo_baseline_near_uavs,60000,1.0,-5.375613041543217,,
ppo_baseline_near_uavs,80000,1.0,-5.375613041543217,,
ppo_baseline_near_uavs,100000,1.0,-5.375613041543217,,
ppo_baseline_near_uavs,120000,1.0,-5.375613041543217,,
ppo_baseline_near_uavs,140000,1.0,-5.375613041543217,,
ppo_baseline_near_uavs,160000,1.0,-5.375613041543217,,
ppo_baseline_near_uavs,180000,1.0,-5.375613041543217,,
ppo_baseline_near_uavs,200000,1.0,-5.375613041543217,,
ppo_baseline_near_border,20000,1.0,0.2761340602981107,,
ppo_baseline_near_border,40000,1.0,0.37119138803421,,
ppo_baseline_near_border,60000,1.0,0.2761340602981107,,
ppo_baseline_near_border,80000,1.0,0.2761340602981107,,
ppo_baseline_near_border,100000,1.0,0.2761340602981107,,
ppo_baseline_near_border,120000,1.0,0.2761340602981107,,
ppo_baseline_near_border,140000,1.0,0.2761340602981107,,
ppo_baseline_near_border,160000,1.0,0.2761340602981107,,
ppo_baseline_near_border,180000,1.0,0.2761340602981107,,
ppo_baseline_near_border,200000,1.0,0.2761340602981107,,
ppo_baseline_noisy_target,20000,1.0,-14.054472938566885,,
ppo_baseline_noisy_target,40000,1.0,-14.054472938566885,,
ppo_baseline_noisy_target,60000,1.0,-14.054472938566885,,
ppo_baseline_noisy_target,80000,1.0,-14.054472938566885,,
ppo_baseline_noisy_target,100000,1.0,-14.054472938566885,,
ppo_baseline_noisy_target,120000,1.0,-14.054472938566885,,
ppo_baseline_noisy_target,140000,1.0,-14.054472938566885,,
ppo_baseline_noisy_target,160000,1.0,-14.054472938566885,,
ppo_baseline_noisy_target,180000,1.0,-14.054472938566885,,
ppo_baseline_noisy_target,200000,1.0,-14.054472938566885,,
ppo_kl_near_uavs,20000,0.8,-82.93409080391743,,
ppo_kl_near_uavs,40000,0.8,-68.45578367743556,,
ppo_kl_near_uavs,60000,0.8,-67.69309807863539,,
ppo_kl_near_uavs,80000,1.0,-35.899538287509465,,
ppo_kl_near_uavs,100000,0.8,-85.68474762996513,,
ppo_kl_near_uavs,120000,0.8,-84.31217207885861,,
ppo_kl_near_uavs,140000,0.8,-76.1287422868534,,
ppo_kl_near_uavs,160000,0.9,-50.05039650682971,,
ppo_kl_near_uavs,180000,0.9,-39.30321480686977,,
ppo_kl_near_uavs,200000,0.9,-42.502398121403594,,
ppo_baseline,20000,0.8,-40.867996550123,54.9,0.5
ppo_baseline,40000,1.0,-15.606138938142067,19.4,0.4
ppo_baseline,60000,1.0,-15.606138938142067,19.4,0.4
ppo_baseline,80000,1.0,-15.606138938142067,19.4,0.4
ppo_baseline,100000,1.0,-15.606138938142067,19.4,0.4
ppo_baseline,120000,1.0,-15.606138938142067,19.4,0.4
ppo_baseline,140000,1.0,-15.606138938142067,19.4,0.4
ppo_baseline,160000,1.0,-15.606138938142067,19.4,0.4
ppo_baseline,180000,1.0,-15.606138938142067,19.4,0.4
ppo_baseline,200000,1.0,-15.606138938142067,19.4,0.4
ppo_kl,20000,0.9,-45.917626004761274,81.2,0.6
ppo_kl,40000,0.8,-62.25020139993511,98.6,0.8
ppo_kl,60000,0.9,-36.11175446026973,67.7,0.8
ppo_kl,80000,1.0,-33.63346300571018,62.7,0.9
