step,uav1_x,uav1_y,uav2_x,uav2_y,target_x,target_y,action,reward,done,success,collision,near_border,distance_uav1_target,distance_uav2_target,distance_uav1_uav2
0,1.850026543358138,-2.76659925489803,1.582624942411521,-2.129693713451671,7.680068902104668,-5.915796667301058,18,-1.3803507026868203,False,False,False,False,6.6262235283051485,7.177283498563053,0.6907621044280682
1,2.2019641038006688,-2.9567043667434514,1.922443981796765,-2.3406985012440105,7.595857037118279,-6.114025117476829,18,-1.3063654509246536,False,False,False,False,6.250020423895047,6.813634085351487,0.6764574819859653
2,2.590323125910911,-3.1840307179339287,2.2971391654408952,-2.589904278371852,7.6491126264421165,-6.043940609182562,18,-1.2181004924757843,False,False,False,False,5.811233586489751,6.369771338268094,0.6625277812013575
3,3.0255826474255976,-3.4300980845854343,2.717246354285165,-2.8610314623305344,7.4123440342911415,-6.004501978567064,18,-1.073662911715369,False,False,False,False,5.086376989040656,5.650252128113033,0.6472310949206501
4,3.4568091762807596,-3.683166614457341,3.1327231837743614,-3.139202280637569,7.115121820288173,-6.025430458921771,18,-0.926221210927054,False,False,False,False,4.343898170812686,4.918313938457854,0.6331894874418287
5,3.8778955484922646,-3.952770522325446,3.5375772339981766,-3.432618704883678,7.4004951388652955,-5.845773395850872,18,-0.8553738217308084,False,False,False,False,3.999020849316963,4.5547173679911195,0.6215902737077469
6,4.31832830979866,-4.189453818668944,3.9616340516631197,-3.6975258874814347,7.458588558887767,-5.950563602801239,18,-0.776029305891959,False,False,False,False,3.6003808276036136,4.1599122313159755,0.6076379541053092
7,4.7544294334649635,-4.434026527565474,4.38194995170777,-3.9683294032814618,7.2823949057190855,-5.984928262545537,18,-0.6498387668553822,False,False,False,False,2.96578920701947,3.532598461534352,0.5963344496979076
8,5.180617084676132,-4.695491794771479,4.792475657585977,-4.253756530256457,7.149219745564294,-5.759953558469803,18,-0.5034902095075392,False,False,False,False,2.237962305945232,2.7969397891301604,0.5880338522055841
9,5.62043741937491,-4.933311207741604,5.213783276923621,-4.523014566140342,6.977114153004675,-5.895406555916635,18,-0.3897645904894775,False,False,False,False,1.6631894716334523,2.234456433261322,0.5776771812025016
10,6.028291352065256,-5.222543241909706,5.608360421018431,-4.830112070783385,7.16142334488539,-6.034387360331648,18,-0.33592129802216175,False,False,False,False,1.393943680988879,1.9652692992327383,0.5747557837215991
11,6.434739621200591,-5.513747301834857,6.003487675200159,-5.136501452131383,7.022261066625967,-6.291858289793554,18,-0.2515379639558592,False,False,False,False,0.9750067478826918,1.5403728916759005,0.5729682993392007
12,6.736030584930446,-5.912775816072543,6.334178184274686,-5.511526500905502,7.0025863549211715,-6.4333350258292725,18,-0.17234763496436412,False,False,False,False,0.5848366176787323,1.1386397319649089,0.5678788293595886
13,6.963919675603931,-6.357822512894362,6.627689885949208,-5.916311482074673,7.2359515777400665,-6.561544038303704,18,-0.122659824660571,False,False,False,False,0.33985852305762926,0.8867397235480806,0.5549616759621546
14,7.3641331227888465,-6.657537705522909,6.970666339827378,-6.280134450130781,7.400211736759189,-6.569197121672333,18,1.9386824711543942,True,True,False,False,0.09542392331633479,0.5177513651397223,0.5452057652617248

# meta: {"policy_name": "ppo_baseline", "scenario_name": "near_uavs", "case_id": "0", "seed": 2024, "max_steps": 200, "total_reward": -8.022981713653412, "episode_length": 15, "final_success": true, "had_collision": false, "arena_size": 10.0, "success_distance": 0.8, "collision_distance": 0.5}
